,Unnamed: 0,player_id,nationality,team_id,primaryPosition
1466,211095,8471231,CAN,27.0,C
1469,211469,8473658,CAN,18.0,D
1471,211594,8471483,CAN,29.0,C
1473,211633,8467844,USA,24.0,LW
1474,211760,8459587,USA,24.0,C
1475,211845,8468095,USA,24.0,RW
1478,212036,8474598,CAN,15.0,C
1479,212039,8474646,CAN,24.0,LW
1483,212218,8467393,FIN,24.0,LW
1485,212294,8467304,CAN,24.0,D
1487,212386,8468598,SVK,24.0,D
1489,212663,8475105,USA,24.0,RW
1490,212711,8464984,CAN,24.0,C
1492,212731,8459596,CAN,16.0,LW
1494,212897,8471279,FIN,16.0,D
1497,212996,8459461,CAN,16.0,C
1499,213105,8474709,CAN,2.0,LW
1501,213775,8467931,CAN,2.0,D
1503,213937,8468101,CZE,2.0,D
1505,214036,8470144,DNK,2.0,C
1507,214730,8475314,USA,2.0,LW
1508,215168,8475754,USA,2.0,C
1509,215674,8474666,SWE,2.0,LW
1510,215726,8475166,CAN,2.0,C
1512,216426,8473584,CAN,2.0,D
1514,216986,8476458,CAN,2.0,C
1517,217422,8473546,AUT,2.0,RW
1522,218018,8475177,CAN,2.0,D
1524,218424,8464967,USA,2.0,C
1526,218599,8469779,USA,2.0,C
1529,218690,8474604,USA,2.0,D
1531,218737,8470644,USA,2.0,RW
1534,218894,8473514,FIN,2.0,LW
1536,219006,8474573,CAN,2.0,RW
1537,219693,8473565,USA,2.0,D
1540,219896,8474659,USA,2.0,D
1542,219967,8473449,USA,2.0,RW
1544,220585,8471701,USA,2.0,D
1546,220606,8474612,CAN,2.0,D
1548,221215,8470852,CAN,2.0,LW
1551,221770,8476367,SWE,2.0,LW
1552,221780,8476445,SWE,2.0,C
1553,221792,8475231,CAN,2.0,C
1554,222311,8468309,CHE,2.0,D
1558,222758,8468504,CAN,2.0,RW
1563,223183,8471234,CAN,3.0,LW
1567,223321,8467371,CAN,15.0,C
1571,223839,8475619,CAN,15.0,LW
1573,223953,8476162,USA,15.0,D
1575,224034,8475200,RUS,15.0,D
1576,224536,8477220,USA,15.0,D
1578,224921,8470156,USA,15.0,RW
1581,225071,8474649,CZE,15.0,D
1582,225101,8476799,USA,15.0,D
1584,225111,8476880,CAN,15.0,RW
1585,225634,8475690,CAN,23.0,D
1586,226096,8473488,RUS,23.0,LW
1587,226098,8473931,USA,23.0,D
1588,226101,8467334,CAN,23.0,C
1591,226398,8474668,CAN,23.0,RW
1596,226928,8471752,CAN,7.0,D
1600,227007,8465192,SWE,23.0,C
1602,227174,8470700,CAN,23.0,RW
1603,227185,8473682,CAN,23.0,C
1606,227303,8471266,USA,23.0,LW
1610,227617,8475178,CAN,23.0,RW
1613,228104,8477073,CAN,26.0,D
1614,228149,8470618,CAN,12.0,RW
1616,228308,8473914,CAN,5.0,C
1619,228890,8473533,CAN,5.0,C
1621,229484,8469760,CZE,5.0,D
1625,229872,8467964,CAN,5.0,C
1626,229893,8468252,CAN,5.0,RW
1627,229912,8458529,RUS,5.0,RW
1630,230007,8474025,USA,5.0,LW
1635,230160,8459492,CZE,3.0,LW
1637,230324,8471714,USA,3.0,D
1638,230424,8468224,CAN,3.0,LW
1639,230519,8468483,SVK,3.0,RW
1643,231031,8459462,CAN,3.0,D
1645,231103,8470299,CAN,3.0,C
1647,231220,8468172,UKR,3.0,LW
1649,231431,8473573,RUS,3.0,C
1652,232093,8471273,USA,3.0,C
1654,232718,8460562,USA,3.0,C
1655,232749,8469455,CAN,9.0,C
1657,233384,8468463,CAN,8.0,LW
1658,233511,8470222,USA,8.0,D
1663,233821,8471678,CAN,8.0,LW
1669,234390,8471768,CAN,8.0,LW
1672,234817,8470678,CAN,8.0,D
1674,234877,8467439,CZE,8.0,D
1676,234989,8466144,USA,8.0,D
1678,235043,8467351,USA,8.0,C
1684,235354,8469500,CAN,8.0,C
1689,235838,8462176,CAN,8.0,D
1691,235916,8470602,CAN,10.0,D
1694,236590,8470207,CAN,10.0,LW
1696,236903,8474125,SWE,10.0,D
1698,237503,8470667,CAN,10.0,LW
1700,237877,8473712,CAN,10.0,LW
1702,237957,8473579,RUS,10.0,LW
1704,238500,8472424,CAN,10.0,LW
1706,238532,8474497,CAN,10.0,D
1711,238621,8471362,BLR,10.0,C
1714,239001,8473463,FIN,10.0,C
1716,239433,8468639,USA,10.0,D
