,game_id,vencedor_id,perdedor_id
622,2015021157,13,1
623,2015021158,9,30
624,2015021160,26,20
625,2015021168,4,9
626,2015021204,2,3
627,2015030114,13,2
628,2015030143,5,3
629,2015030177,18,24
630,2015030234,25,19
631,2015030326,28,19
632,2015030414,5,28
633,2016020005,8,7
634,2016020011,19,30
635,2016020072,16,10
636,2016020073,18,5
637,2016020079,3,53
638,2016020082,20,16
639,2016020083,30,6
640,2016020094,8,2
641,2016020113,7,13
642,2016020140,18,21
643,2016020144,4,17
644,2016020148,3,22
645,2016020184,23,3
646,2016020196,6,29
647,2016020237,20,30
648,2016020240,21,26
649,2016020246,4,52
650,2016020263,7,5
651,2016020283,19,6
652,2016020292,20,29
653,2016020294,14,4
654,2016020310,17,1
655,2016020311,25,23
656,2016020339,23,30
657,2016020342,2,5
658,2016020367,23,10
659,2016020371,12,14
660,2016020379,5,9
661,2016020382,7,22
662,2016020391,30,10
663,2016020398,8,1
664,2016020417,29,2
665,2016020427,16,25
666,2016020477,17,12
667,2016020480,20,53
668,2016020485,8,24
669,2016020489,9,16
670,2016020490,19,25
671,2016020495,12,7
672,2016020510,17,13
673,2016020517,5,1
674,2016020531,23,26
675,2016020545,18,19
676,2016020570,8,18
677,2016020593,26,30
678,2016020607,16,18
679,2016020612,25,26
680,2016020615,6,19
681,2016020619,24,25
682,2016020623,20,28
683,2016020627,18,6
684,2016020631,22,1
685,2016020639,53,52
686,2016020649,22,20
687,2016020657,7,25
688,2016020678,9,29
689,2016020688,8,1
690,2016020693,9,10
691,2016020697,15,25
692,2016020710,10,20
693,2016020731,4,10
694,2016020734,13,14
695,2016020736,30,19
696,2016020737,52,16
697,2016020744,12,4
698,2016020754,28,16
699,2016020791,3,24
700,2016020803,24,7
701,2016020814,16,52
702,2016020819,25,12
703,2016020825,14,52
704,2016020828,28,1
705,2016020835,53,20
706,2016020851,19,23
707,2016020871,52,9
708,2016020878,24,26
709,2016020881,53,24
710,2016020885,10,52
711,2016020895,2,8
712,2016020897,18,21
713,2016020928,22,19
714,2016020934,14,12
715,2016020952,6,1
716,2016020955,25,13
717,2016020959,16,18
718,2016020965,30,28
719,2016020970,9,6
720,2016020974,29,1
721,2016021018,29,4
722,2016021033,4,5
723,2016021041,29,13
724,2016021044,22,6
725,2016021059,3,30
726,2016021061,22,23
727,2016021068,8,9
728,2016021070,10,6
729,2016021074,22,26
730,2016021081,12,13
731,2016021091,10,1
732,2016021095,19,23
733,2016021113,20,19
734,2016021114,18,28
735,2016021120,52,23
736,2016021127,6,18
737,2016021137,16,5
738,2016021149,22,28
739,2016021150,5,3
740,2016021157,6,13
741,2016021162,25,12
742,2016021180,1,4
743,2016021198,14,10
744,2016021206,14,8
745,2016021207,9,3
746,2016021208,4,29
747,2016021216,25,21
748,2016030141,5,29
749,2016030153,18,16
750,2016030182,22,28
751,2016030211,9,3
752,2016030227,5,15
753,2016030231,18,19
754,2016030325,18,24
755,2016030416,5,18
756,2017020013,29,2
757,2017020015,54,25
758,2017020044,9,23
759,2017020051,14,5
760,2017020052,13,19
761,2017020087,29,52
762,2017020104,23,7
763,2017020109,24,8
764,2017020118,25,12
765,2017020135,54,16
766,2017020142,26,8
767,2017020147,22,25
768,2017020181,16,4
769,2017020189,3,14
770,2017020194,21,12
771,2017020221,52,25
772,2017020227,12,13
773,2017020232,10,30
774,2017020235,22,1
775,2017020238,19,53
776,2017020272,52,53
777,2017020282,14,25
778,2017020299,2,14
779,2017020315,24,28
780,2017020321,13,10
781,2017020327,29,20
782,2017020331,28,53
783,2017020355,54,53
784,2017020369,13,3
785,2017020377,6,14
786,2017020386,20,53
787,2017020396,6,4
788,2017020412,15,28
789,2017020438,28,12
790,2017020444,6,2
791,2017020458,19,7
792,2017020516,10,12
793,2017020530,1,3
794,2017020533,14,9
795,2017020538,28,23
796,2017020541,8,20
797,2017020546,13,9
798,2017020550,12,7
799,2017020558,6,9
800,2017020561,3,15
801,2017020568,54,24
802,2017020578,17,3
803,2017020597,21,2
804,2017020599,20,16
805,2017020601,3,7
806,2017020618,4,2
807,2017020628,5,2
808,2017020636,6,12
809,2017020638,9,14
810,2017020646,52,28
811,2017020647,29,13
812,2017020667,15,12
813,2017020674,30,52
814,2017020723,52,23
815,2017020781,9,24
816,2017020796,13,17
817,2017020797,1,5
818,2017020799,52,21
819,2017020823,10,18
820,2017020824,6,3
821,2017020829,9,18
822,2017020849,30,16
823,2017020853,5,19
824,2017020859,4,54
825,2017020871,18,19
826,2017020881,5,26
827,2017020886,24,16
828,2017020901,17,18
829,2017020922,18,17
830,2017020950,17,12
831,2017020983,6,5
832,2017020988,53,30
833,2017020994,52,17
834,2017021009,18,21
835,2017021011,54,1
836,2017021048,6,16
837,2017021049,54,7
838,2017021075,21,30
839,2017021090,18,53
840,2017021093,9,25
841,2017021096,24,17
842,2017021124,22,12
843,2017021128,52,26
844,2017021137,4,3
845,2017021144,26,21
846,2017021150,6,25
847,2017021154,15,8
